Accepted_SPNAME,CommonName.L,Duration.L,Habit.L,SizeNotes.L,WaterUse.L,SolpH.L,SoilDescription.L,UseWildlife.L,InterestingFoliage.L,FragrantFoliage.L,CommercialAvail.L,PropagationDescription.L,Plant.Type.M,Maintenance.M,Zone.From.M,Zone.To.M,Bloom.From.M,Bloom.To.M,Showy.E,Height.(feet).E,Lifespan.E,Growth.Form.E,Shape.and.Orientation.E,Fall.Conspicuous.E,Leaf.Retention.E,Soil.Moisture.E,Moisture.Use.E,Soil.Texture.E,Salt.Tolerance.E,Fertility.Requirement.E,Growth.Rate.E,Active.Growth.Period.E,Hedge.Tolerance.E,Resprout.Ability.E,Drought.Tolerance.E,Fire.Tolerance.E,Palatability.(Browsing/Grazing).E,Propagation.E,Pollinator.Value.E,Benefits.To.Pollinators.E,Pollinators.E,Native.Bees.(except.Bombus).E,Bombus.E,Honey.Bees.E,"Beetles,.Wasps,.Flies.E",Moths.E,Butterflies.E,Monarchs.E,Nesting.and.Structure.(Bees).E,Larval.Host.(Monarch).E,Larval.Host.(Butterfly).E,Larval.Host.(Moth).E,Larval.Species.(Lepidoptera).E,Hummingbirds.E,Bats.E,Wind.E,Plant.Type.E,Full Sun,Part Shade,Full Shade,Wet,Medium,Dry
Juniperus flaccida,"Weeping Juniper, Drooping Juniper, Mexican Weeping Juniper, Mexican Drooping Juniper, Weeping Cedar, Drooping Cedar, Tascate",Perennial,Tree,Up to about 40 feet tall.,Medium,,"Rocky, Sandy, Sandy Loam, Medium Loam, Clay Loam Clay, Calcareous
Acid-based
Igneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,True
Juniperus horizontalis,"Creeping Juniper, Creeping Savin",Perennial,Shrub,Up to about 1 foot tall.,High,Circumneutral (pH 6.8-7.2),"Dry, rocky soils.",Very high.,,yes,yes,"Generally, cuttings should be taken after several hard freezes although references point to any time from July to April. Hormone treatment improves rooting. Propagation is also possible by seed. Seed can be sown outdoors in fall or stratified and sown",Needled evergreen,Low,3.0,9.0,Non-flowering,Non-flowering,No,4,Moderate,Thicket Forming,Prostrate,No Color,Evergreen,Dry,High,Medium,,High,Moderate,"Spring, Summer",,Yes,Low,Medium,Low/Low,"Container, Bare root, Cutting",Low,Larval Food,Larval Host (Moth); Wind,,,,,,,,,,,Yes,"Dichomeris marginella, Glyphidocera juniperella, Periploca nigra",,,Yes,Shrub,True,True,False,False,True,True
Juniperus monosperma,"Oneseed Juniper, One-seed Juniper, Cherrystone Juniper, New Mexico Juniper, West Texas Juniper",Perennial,Shrub,"Up to about 40 feet tall, often shorter.",Low,,"Gravelly or sandy, dry soils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False
Juniperus occidentalis,Western Juniper,Perennial,Tree,Up to about 100 feet tall.,Low,,Rocky soils.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Juniperus osteosperma,Utah Juniper,Perennial,Tree,"Up to about 40 feet tall, often much shorter.",Low,,Rocky soils.,,,,yes,"Seed can be sown outdoors in fall or stratified and sown in spring. Seed germination is often poor, so a large quantity of seeds should be sown.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Juniperus pinchotii,"Pinchot's Juniper, Pinchot Juniper, Redberry Juniper, Texas Juniper, Christmasberry Juniper",Perennial,Tree,Up to about 20 feet tall.,Medium,,"Rocky, Gypseous, Limestone-based, Sandy, Sandy Loam, Medium Loam
Clay Loam
Clay","Seeds-Small mammals, Seeds-granivorous birds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,True
Juniperus scopulorum,"Rocky Mountain Juniper, Rocky Mountain Red Cedar, Mountain Red Cedar, Colorado Red Cedar, Western Red Cedar, River Juniper, Western Juniper, Cedro Rojo",Perennial,Tree,"Up to about 65 feet tall, often much shorter.",Low,,"Dry, rocky or sandy soils. Rocky Caliche type Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay.","Provides nesting site, cover, seeds for small mammals. Also attracts Cedar Waxwings, Northern Mockingbird, Evening Grosbeak as well as other species.",,,yes,"Generally, nodal cuttings should be taken after several hard freezes although references point to any time from July to April. Hormone treatment improves rooting. Propagation is also possible by seed but is less reliable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True
Juniperus virginiana,"Eastern Red Cedar, Eastern Redcedar, Virginia Juniper, Red Juniper, Pencil Cedar, Carolina Cedar, Red Savin",Perennial,Tree,Up to about 90 feet tall.,Low,Circumneutral (pH 6.8-7.2),"Dry, limestone soils (adaptable). Sandy, Sandy Loam, Medium Loam Clay Loam, Clay, Rocky, Limestone-based, Caliche type.","The juicy ""berries"" are consumed by many kinds of wildlife, including the cedar waxwing, named for this tree. The fruits are a staple for many birds and small mammals. Also provides nesting material and cover.",yes,yes,yes,"Seed can be sown outdoors in fall or stratified and sown in spring. Seed germination is often poor, so a large quantity of seeds should be sown. Selected forms have been rooted from cuttings.",Needled evergreen,Low,2.0,9.0,Non-flowering,Non-flowering,No,50,Moderate,Single Stem,Conical,No Color,Deciduous,Dry,Low,,Low,Low,Slow,"Spring, Summer",Medium,Yes,High,Low,Low/Low,"Seed, Container, Bare root, Cutting",Medium,Larval Food; Nesting and Structure (Bees),Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,Yes,,Yes,Yes,"Argyresthia affinis, Argyresthia annettella, Argyresthia freyella, Argyresthia quadristrigella, Callophrys niphon, Coleotechnites albicostata, Coleotechnites australis, Coleotechnites obliquistrigella, Coleotechnites occidentis, Cudonigera houstonana, Dichomeris marginella, Eacles imperialis, Hyalophora cecropia, Hyphantria cunae, Lymantria dispar, Mitoura gryneus, Mitoura gryneus gryneus, Mitoura hesseli, Mitoura siva, Orgyia leucostigma, Patalene olyzonaria puber, Periploca nigra, Semiothisa atrofasciata, Semiothisa continuata, Synaxis jubararia, Thera juniperata, Thorybes ephemeraeformis",,,Yes,Tree,True,True,True,False,True,True
Jussiaea repens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Justicia americana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Kalmia angustifolia,"Sheep Laurel, Lambkill Kalmia, Lambkill",Perennial,Shrub,"Up to about 5 feet tall, often shorter.",,Acidic (pH<6.8),Wet/organic to dry/sterile soils.,Low.,,,yes,,,,,,,,Yes,,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,,Yes,,,,,,Yes,Yes,"Acleris minuta, Argyrotaenia mariana, Callophrys augustinus, Callophrys augustinus augutinus, Cladara limitaria, Coptodisca kalmiella, Darapsa choerilus, Eupithecia russeliata, Lymantria dispar, Nemoria rubrifrontaria, Olethreutes melanomesa, Parornix kalmiella, Phlogophora periculosa, Probole nepiasaria, Pseudexentera cressoniana, Pseudexentera kalmiana, Sphinx kalmiae, Syngrapha epigaea, Tetracis cachexiata",,,,Shrub,False,True,False,True,False,False
Kalmia buxifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Kalmia cuneata,"Whitewicky, White Wicky",Perennial,Shrub,"Spreading to erect, up to about 5 feet tall.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Kalmia hirsuta,"Hairy Mountainlaurel, Hairy Laurel",Perennial,Shrub,To about 4 feet in height.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Kalmia latifolia,"Mountain Laurel, Calico Bush, Kalmia, Mountain-laurel",Perennial,Shrub,Up to about 35 feet tall when growing as a tree. Usually shrub-like and much shorter.,Low,,"Cool, moist rocky or sandy soils.",,,,yes,,Broadleaf evergreen,Medium,4.0,9.0,May,May,Yes,6–20,Long,Multiple Stem,Semi-Erect,No Color,Evergreen,"Moist, Dry",Low,,,Low,Slow,"Spring, Summer",Low,Yes,High,Medium,Low/Low,"Seed, Container, Bare root, Cutting",Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Moth); Hummingbirds",Yes,Yes,,Yes,,Yes,,Yes,,,Yes,"Lymantria dispar, Sphinx kalmiae, Synanthedon rhododendri",Yes,,,Shrub,False,True,True,False,True,False
Kalmia microphylla,Alpine Laurel,Perennial,Subshrub,"Spreading to erect, up to about 30 inches tall.",Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False
Kalmia polifolia,"Bog Laurel, Pale Laurel, Swamp Laurel",Perennial,Shrub,Up to about 3 feet tall.,Medium,Acidic (pH<6.8),"Wet, organic soils & peat.",,,,yes,Propagation is by seeds under a mist tent or by summer cuttings.,,,,,,,Yes,1,Long,Multiple Stem,Decumbent,No Color,Evergreen,Wet,Medium,,,Low,Slow,"Spring, Summer",,Yes,Low,Medium,Low/Low,"Seed, Container, Bare root, Cutting",High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,,Yes,,,,,,Yes,Yes,"Acronicta lanceolaria, Apharetra dentata, Lycaeides argyrognomon nabokovi, Lycaeides idas, Xylotype arcadia",,,,Shrub,True,True,True,True,False,False
Kalmiopsis leachiana,"North Umpqua Kalmiopsis, Kalmiopsis",,Shrub,"Up to about 30 inches tall, often shorter.",,,"Moist to drier, peat.",,,,yes,Fairly easy to propagate from cuttings or seed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,True,False
Keckiella antirrhinoides,"Snapdragon Penstemon, Chaparral Bush-beardtongue, Bush Penstemon",Perennial,Herb,Up to about 8 feet tall.,,,"Dry, rocky soils.",,,,yes,"Propagate using half-woody cuttings, layering or seed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Keckiella breviflora,"Bush Beardtongue, Gaping Bush-beardtongue, Gaping Penstemon",,Herb,Up to about 6 feet tall.,,,"Dry, rocky soils.",,,,yes,"Propagate using half-woody cuttings, layering or seed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Keckiella cordifolia,"Heartleaf Keckiella, Heart-leaf Bush-beardtongue, Climbing Penstemon, Heartleaf Penstemon",,Herb,"Stems climbing, up to about 10 feet long.",,,"Dry, rocky soils.",,,,yes,"Propagate using half-woody cuttings, layering or seed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,False,True
Keckiella corymbosa,"Redwood Keckiella, Red Shrubby Penstemon",Perennial,Subshrub,Up to about 2 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Koeleria macrantha,"Prairie Junegrass, Junegrass, Prairie Koeler's Grass",Perennial,Grass/Grass-like,"Up to about 4 feet tall, often shorter.",High,,Sandy or rocky soils.,,,,yes,"Propagate by seed sown unstratified in fall or statified in spring. Sow 1/4"" deep. Seed germinated best when weather is cool. Seedlings are almost invisible when first emerging. 1- to 3-year old plants may be divided in early spring.",,,,,,,No,1.5,Short,Bunch,Erect,No Color,Deciduous,Dry,High,,,Medium,Rapid,"Spring, Fall",,No,High,High,Medium/High,Seed,Medium,Larval Food; Nesting and Structure (Bees),Nesting and Structure (Bees); Larval Host (Butterfly); Wind,,,,,,,,Yes,,Yes,,Hesperia columbia,,,Yes,Graminoid (perennial),True,True,True,False,False,True
Kosteletzkya depressa,"Stinging Mallow, White Fen, White Fen-rose, White Fenrose",,Herb,Up to about 6 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Kosteletzkya pentacarpos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Kosteletzkya virginica,"Virginia Saltmarsh Mallow, Virginia Fen-rose, Saltmarsh Mallow, Seashore Mallow",Perennial,Subshrub,"Normally 4 to 6 feet, occasionally up to 10 feet, at maturity, which it reaches in about 5 years. Once it reaches this height, its life is nearing its end, as it only lives about 5 years.",High,"Alkaline (pH>7.2) , Acidic (pH<6.8)","Prefers sand, but will tolerate clay. Moderately salt tolerant, though does best with high acidity.",,,,yes,"Seeds germinate easily, particularly in warm (70 degree) soils. Tip cuttings, taken before flowering, will root.",,,,,,,,,,,,,,Wet,,,,,,,,,,,,,Low,Larval Food,Larval Host (Moth),,,,,,,,,,,Yes,Crocidosema plebejana,,,,"Shrub, Herb (perennial)",True,False,False,False,True,False
Kraunhia frutescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Krigia biflora,"Two-flower Dwarf Dandelion, Two-flower Cynthia, Dwarf Dandelion",Perennial,Herb,Up to about 28 inches tall.,,,Sandy,,,,,,,,,,,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,Very High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs",Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,Herb (perennial),True,False,False,False,False,False
Krigia dandelion,"Potato Dwarf Dandelion, Potato Dandelion",Perennial,Herb,Up to about 20 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Krigia montana,Mountain Dwarfdandelion,Perennial,Herb,Up to about 20 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Krigia occidentalis,Western Dwarfdandelion,Annual,Herb,Up to about 6 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Krigia virginica,"Virginia Dwarfdandelion, Virginia Dwarf-dandelion, Virginia Dwarf Dandelion, Dwarf Dandelion",Annual,Herb,Up to about 1 foot tall.,,,,,,,,,,,,,,,,,,,,,,Dry,,,,,,,,,,,,,Medium,Adult Food,"Native Bees; Beetles, Wasps, Flies",Yes,,,Yes,,,,,,,,,,,,Herb (annual),False,False,False,False,False,False
Lachnanthes caroliniana,"Carolina Redroot, Paint Root",Perennial,Herb,"Normally no more than 3 feet tall, but flowers sometimes exceed that height by 2 or 3 feet.","Medium , High",Acidic (pH<6.8),Sand,Seed prized by Sandhill Cranes. Plant in masses to attract them.,yes,,,,,,,,,,No,3,Long,Rhizomatous,Erect,No Color,Deciduous,"Wet, Moist",Medium,,,Low,Moderate,Summer,,No,Low,High,Low/Low,"Seed, Bare root",None Known,,,,,,,,,,,,,,,,,,Herb (perennial),True,True,False,False,True,False
Lacinaria spicata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Lackeya multiflora,Boykin's Clusterpea,,Vine,"Climbing, up to about 6 feet tall.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Lactuca biennis,Tall Blue Lettuce,Annual,Biennial,"Up to about 10 feet tall, often much shorter.","Medium , High",,,,,,,,,,,,,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,"Cucullia intermedia, Phaneta ornatula, Thorybes bunteana",,,,Herb (annual or biennial),False,True,False,True,True,False
Lactuca canadensis,"Canada Lettuce, Wild Lettuce",Biennial,Herb,"Up to about 15 feet tall, often much shorter.","Low , Medium",,,,,,,,,,,,,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,,,,Yes,"Cucullia intermedia, Kodiosoma fulva, Papaipema cataphracta, Trichoplusia ni",,,,Herb (annual or biennial),True,True,False,False,False,False
Lactuca floridana,"Woodland Lettuce, Florida Lettuce",Annual,Biennial,Up to about 6 feet tall.,,,,,,,,,Annual,Medium,,,July,October,,,,,,,,"Moist, Dry",,,,,,,,,,,,,High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies",Yes,Yes,Yes,Yes,,,,,,,,,,,,Herb (annual or biennial),False,True,True,True,True,False
Lactuca hirsuta,Hairy Lettuce,Biennial,Herb,Up to about 4 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies",Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,Herb (biennial),False,False,False,False,False,False
Laguncularia racemosa,White Mangrove,,Tree,Up to about 65 feet tall.,,,"Wet, brackish soils.",,,,yes,Propagation from seed is quite simple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,True,False,False
Lantana involucrata,"Buttonsage, Button-sage",Perennial,Shrub,"Up to about 5 feet tall, occasionally taller.",,,"Well-drained, ridge soils.",,,,yes,Propagation is by seed or softwood cuttings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Lantana urticoides,"Texas Lantana, Calico Bush",Perennial,Shrub,"Up to about 6 feet tall, often shorter.",Low,,"Poor, well-drained soils.",Attracts butterflies. Deer-proof.,,,yes,,,,,,,,No,,,,,,,Dry,,,,,,,,,,,,,Medium,Adult Food; Larval Food,Butterflies; Monarchs; Larval Host (Moth),,,,,,Yes,Yes,,,,Yes,Anoncia diveni,,,,Shrub,True,False,False,False,False,True
Laportea canadensis,"Canadian Woodnettle, Wood Nettle",Perennial,Herb,Up to about 5 feet tall.,,,,,,,,,,,,,,,No,,,,,,,"Wet, Moist",,,,,,,,,,,,,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Aglais milberti, Diachrysia balluca, Polygonia comma, Vanessa atalanta rubria",,,Yes,Herb (perennial),False,False,False,False,False,False
Lappula occidentalis,Flatspine Stickseed,Annual,Biennial,To about 32 inches in height.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Lappula texana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Larix laricina,"Tamarack, American Larch, Hacmatack, Black Larch",Perennial,Tree,Up to about 75 feet tall.,Medium,,"Wet, acid soils.","Seeds are a favorite of crossbills, and the buds are eatem by spruce grouse. Tamaracks are often used as nesting sites.",,,yes,Seeds germinate fairly well without pretreatment. Sow in fall. Any dormancy can be overcome with stratification. Cuttings are difficult to root. Loses needles in fall.,,,,,,,No,80,Moderate,Single Stem,Erect,Color,Deciduous,"Wet, Moist",Medium,,Low,Low,Rapid,"Spring, Summer",,No,Low,,Low/Low,"Seed, Container, Bare root, Cutting",Low,Larval Food,Larval Host (Moth); Wind,,,,,,,,,,,Yes,"Acleris variana, Acronicta lanceolaria, Amorbia humerosana, Anacamptodes vellivolata, Anaplectoides pressus, Aplectoides condita, Archips alberta, Archips packardiana, Argyresthia laricella, Argyrotaenia niscana, Argyrotaenia tabulana, Argyrotaenia velutinana, Biston betularia cognataria, Campaea perlata, Caripeta angustiorata, Caripeta divisata, Choristoneura fumiferana, Choristoneura pinus, Chytolita petrealis, Cingilia catenaria, Cladara limitaria, Clepsis persicana, Coleophora laricella, Coleotechnites laricis, Cyclophora pendulinaria, Dasychira plagiata, Dasychira vagans, Dioryctria reniculella, Dolichomia thymetusalis, Dysstroma citrata, Dysstroma truncata, Eacles imperialis imperialis, Ectropis crepuscularia, Eilema bicolor, Elaphria versicolor, Epinotia cruciana, Epirrita autumnata henshawi, Eufidonia discospilata, Eufidonia notataria, Eupithecia annulata, Eupithecia filmata, Eupithecia fletcherata, Eupithecia gibsonata, Eupithecia lariciata, Eupithecia luteata, Eupithecia luteata bifasciata, Eupithecia palpata, Eupithecia transcanadata, Eurois occulta, Feralia jocosa, Griselda radicana, Hyalophora cecropia, Hyalophora columbia columbia, Hyalophora columbia gloveri, Hyalophora euryalus, Hydriomena divisdaria, Hydriomena furcata, Hydriomena perfracta, Hypagyrtis piniata, Ipimorpha pleonectusa, Iridopsis larvaria, Lacanobia nevadae, Lacanobia nevadae canadensis, Lambdina fiscellaria fiscellaria, Lapara bombycoides, Lithophane fagina, Lithophane thaxteri, Lobophora nivigerata, Lophocampa caryae, Lymantria dispar, Macaria exauspicata, Macaria pustularia, Malacosoma disstria, Melanchra assimilis, Melanchra pulverulenta, Melanolophia canadaria, Melanolophia signataria, Nematocampa filamentaria, Nemoria mimosaria, Nepytia canosaria, Nepytia semiclusaria, Orgyia antiqua, Orgyia leucostigma, Orgyia leucostigma plagiata, Orthosia hibisci, Palthis angulalis, Panthea acronyctoides, Panthea furcilla, Papestra biren, Papestra cristifera, Paralobesia piceana, Pero morrisonaria, Pococera jovita, Probole amicaria, Prochoerodes transversata, Protoboarmia porcelaria, Protoboarmia porcelaria indicataria, Semiothisa bisignata, Semiothisa denticulata, Semiothisa granitata, Semiothisa granitata-group, Semiothisa oweni, Semiothisa sexmaculata, Semiothisa submarmorata, Solenobia walshella, Sparganothis sulfureana, Sparganothis tristriata, Sphinx gordius, Sphinx poecila, Spiramater lutra, Syngrapha alias, Syngrapha rectangula, Syngrapha selecta, Tetracis cachexiata, Thera contractata, Tolype laricis, Xestia dilucida, Xestia elimata, Xestia perquiritata, Xestia praevia, Xestia youngii, Xylotype arcadia, Zeiraphera diniana, Zeiraphera fortunana, Zeiraphera improbana",,,Yes,Tree,True,True,True,True,True,False
Larix occidentalis,"Western Larch, Western Tamarack",,Tree,"Up to about 200 feet, occasionally taller.",Low,,Wet soils.,,,,yes,Propagate by seed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,True,False
Larrea tridentata,"Creosote Bush, Greasewood, Hediondilla, Governadora, Guamis",Perennial,Shrub,"Up to about 10 feet tall, usually shorter.",Low,,"Loose, well-drained sand or loam. Sandy, Sandy Loam, Medium Loam, Caliche type","Provides cover for desert wildlife. Nectar-insects, Cover, Nesting site, Browse, Fruit-birds",,,yes,"Seeds germinate slowly. Hulling dramatically improves germination. Sow seeds in a warm, well-drained dark place. This species is difficult to root from cuttings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,True
Lasthenia californica,California Goldfields,Annual,Herb,Up to about 16 inches tall.,,,Dry clays or sands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False
Lasthenia coronaria,Royal Goldfields,Annual,Herb,Up to about 16 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Lasthenia glabrata,"Yellowray Goldfields, Yellow-ray Goldfields, California Sunshine",Annual,Herb,Up to about 2 feet tall.,,,"Heavy, alkaline soils.",One of the primary,,,yes,Can be propagated only from seed. Sow outside in late fall. Seeds will germinate over the winter and flower in the warmth of spring.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False
Lasthenia gracilis,"Common Goldfields, Needle Goldfields",,Herb,Up to about 16 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Lathyrus japonicus,"Beach Pea, Sand Pea",Perennial,Vine,,Medium,,Sandy,,,,,,,,,,,,Yes,1.5,Short,Single Crown,Decumbent,No Color,Deciduous,"Moist, Dry",Medium,,Medium,Low,Moderate,"Spring, Summer",,No,Medium,High,Low/Low,"Seed, Sprig",High,Adult Food; Larval Food,"Bombus; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",,Yes,,Yes,,Yes,,,,Yes,Yes,"Actebia fennica, Ancylis maritima, Ancylis metamelana, Cydia nigricana, Glaucopsyche lygdamus, Glaucopsyche lygdamus mildredi, Melanchra picta, Pima albiplagiatella, Pima boisduvaliella",,,,"Vine, Herb (perennial)",True,True,False,True,True,False
